"PassengerId","Survived"
904,"1"
906,"1"
916,"1"
918,"1"
920,"1"
926,"1"
936,"1"
938,"0"
940,"1"
942,"1"
945,"1"
949,"0"
951,"1"
956,"1"
960,"1"
961,"1"
965,"1"
966,"1"
967,"1"
969,"1"
973,"0"
984,"1"
988,"1"
992,"1"
1001,"0"
1004,"1"
1006,"1"
1009,"1"
1010,"1"
1014,"1"
1023,"0"
1034,"0"
1042,"1"
1048,"1"
1050,"1"
1058,"0"
1069,"0"
1070,"1"
1071,"1"
1073,"1"
1074,"1"
1076,"1"
1088,"1"
1094,"0"
1100,"1"
1107,"1"
1110,"1"
1114,"1"
1126,"1"
1128,"0"
1131,"1"
1134,"0"
1137,"1"
1144,"1"
1162,"0"
1164,"1"
1179,"1"
1185,"0"
1197,"1"
1198,"1"
1200,"0"
1206,"1"
1208,"0"
1213,"0"
1214,"0"
1218,"1"
1223,"1"
1227,"1"
1235,"1"
1242,"1"
1247,"0"
1248,"1"
1256,"1"
1263,"1"
1264,"0"
1266,"1"
1270,"0"
1282,"1"
1283,"1"
1287,"1"
1289,"1"
1292,"1"
1296,"0"
1297,"0"
1299,"0"
1303,"1"
1306,"1"
